,company_ceo,company_name,company_employees
8909,,Agrana Beteiligungs,
8910,,Ichor Holdings,"2,540"
8911,,Beijing North Star Company,
8912,,Jamieson Wellness,
8913,,Digital Value,
8914,,Beijing Sanlian Hope Shin-gosen Technical Service,
8915,,Pt Bfi Finance Indonesia Tbk,
8916,,Corecivic,"10,348"
8917,,Rvrc Holding Ab (publ),
8918,,"Guangzhou Jet Bio-filtration Co., Ltd.",
8919,,Gree,
8920,,Fujian Expressway Development,
8921,,Aquaventure Holdings,
8922,,Longyan Zhuoyue New Energy,
8923,,Zhejiang Asia-pacific Mechanical & Electronic,
8924,,Chongqing Construction Engineering Group Corporation,
8925,,China High-speed Railway Technology,
8926,,Liaoning Fu-an Heavy Industry,
8927,,Sparebanken Vest,
8928,,Fibrogen,566
8929,,Pressance Corporation,665
8930,,Central Holding Group,
8931,,Sundial Growers,
8932,,Liberbank,
8933,,Rosgosstrakh Insurance Company (public Joint Stock Company),
8934,,Taihan Electric Wire,
8935,,Niu Technologies,
8936,,Ce Info Systems,
8937,,Renova,"6,735"
8938,,Nicolet Bankshares,876
8939,,Azorim-investment Development & Construction Co. Ltd,
8940,,Les Nouveaux Constructeurs Sa,
8941,,Provident Financial,
8942,,Anhui Hengyuan Coal-electricity Group,
8943,,Qingdao Eastsoft Communication Technology,
8944,,Hna Technology,
8945,,Towa Pharmaceutical,
8946,,Granges Ab (publ),
8947,,Dah Sing Banking Group,"3,097"
8948,,Saudi Ceramic Company,
8949,,Chipmos Technologies,
8950,,Xiamen Solex High-tech Industries,
8951,,Axsome Therapeutics,108
8952,,Nextgen Healthcare,"2,564"
8953,,Zhejiang Tony Electronic Co. Ltd,
8954,,Beijing Bohui Innovation Biotechnology,
8955,,Eclerx Services,
8956,,Marinemax,"2,666"
8957,,Kaman Corporation,"2,846"
8958,,Psg Group,
8959,,Redco Properties Group,
8960,,Yonggao,
8961,,Life Corporation,"114,000"
8962,,Pt Solusi Tunas Pratama Tbk,
8963,,Banbao,
8964,,"Keros Therapeutics, Inc.",
8965,,Jiangsu Rainbow Heavy Industries,
8966,,Shenzhen Click Technology,
8967,,Concentric Ab (publ),
8968,,Nanjing Panda Electronics Company,
8969,,Jiangsu Kanion Pharmaceutical,
8970,,Enerjisa Enerji,
8971,,Astro Malaysia Holdings Berhad,
8972,,Allied Group,"3,448"
8973,,Nikkon Holdings,"12,579"
8974,,"China Leadshine Technology Co., Ltd.",
8975,,Henderson Smaller Companies Investment Trust,
8976,,"Nurix Therapeutics, Inc.",242
8977,,Chang Wah Technology,
8978,,Actuant Corporation,"4,700"
8979,,Mitie Group,"48,900"
8980,,"Henan Jindan Lactic Acid Technology Co., Ltd",
8981,,Sanken Electric,
8982,,Coronation Fund Managers,
8983,,Elior Group,
8984,,Global Blue Group Holding Ag,
8985,,Investors Real Estate Trust,315
8986,,President Securities Corporation,
8987,,Jangho Group,
8988,,Sirio Pharma,
8989,,C&c Group,
8990,,Yotrio Group,
8991,,Bonduelle Sca,
8992,,Shandong Shanda Wit Science And Technology,
8993,,Mechel Pao,
8994,,Umh Properties,430
8995,,Aerospace Hi-tech Holding Group,
8996,,Western Region Gold,
8997,,Bizlink Holding,
8998,,Tivity Health,"1,000"
8999,,Shanghai Kehua Bio-engineering,
9000,,United Renewable Energy,
9001,,Rpc,"2,250"
9002,,Shandong Xiantan,
9003,,Shanghai Runda Medical Technology,
9004,,Luoyang Bearing Science & Technology,
9005,,Guangdong Hoshion Aluminium,
9006,,Changchun Faway Automobile Components,
9007,,Recticel Sa/nv,
9008,,Merus,
9009,,Edan Instruments,
9010,,"Kunshan Huguang Auto Harness Co.,ltd.",
9011,,Jiangsu Baichuan High-tech New Materials Co. Ltd,
9012,,Jubilant Ingrevia Limited,
9013,,Dragerwerk Ag & Co. Kgaa,
9014,,Qingdao Zhongzi Zhongcheng Group,
9015,,"Poshmark, Inc.",750
9016,,"Enfusion, Inc.",639
9017,,Casin Real Estate Development Group,
9018,,Chengdu B-ray Media,
9019,,Allcargo Logistics,
9020,,J.s. Corrugating Machinery Co. Ltd,
9021,,Klockner & Co Se,
9022,,Central Plaza Hotel Public Company,
9023,,Asia Cuanon Technology (shanghai),
9024,,Albioma,
9025,,Detsky Mir,
9026,,Intertape Polymer Group,
9027,,Akzo Nobel India,"1,482"
9028,,"Chongqing Baiya Sanitary Products Co., Ltd.",
9029,,Replimune Group,206
9030,,Mosenergo,
9031,,Zhejiang Garden Bio-chemical High-tech,
9032,,Ares Acquisition Corporation,
9033,,Sonata Software,
9034,,"Sichuan Injet Electric Stock Co.,ltd.",
9035,,Hubei Huitian New Materials,
9036,,Tgs-nopec Geophysical Company Asa,
9037,,Hanil Cement,
9038,,Third Point Reinsurance,
9039,,Sosei Group Corporation,190
9040,,Pt Ciputra Development Tbk,
9041,,Wilh. Wilhelmsen Holding Asa,
9042,,Global New Material International Holdings Limited,
9043,,Wuhan P&s Information Technology,
9044,,Brigade Enterprises,
9045,,"Jiang Xi Chenguang New Materials Co.,ltd.",
9046,,Innoviva,6
9047,,Icg Enterprise Trust,
9048,,"Huanlejia Food Group Co., Ltd.",
9049,,Sl Corporation,
9050,,Chengdu Hongqi Chain,
9051,,Penta Teknoloji Urunleri Dagitim Ticaret A.s.,
9052,,Hubei Radio & Television Information Network,
9053,,Shinry Technologies,
9054,,Nanjing Chervon Auto Precision Technology Co. Ltd,
9055,,Fujian Haiyuan Composites Technology,
9056,,Zhenjiang Dongfang Electric Heating Technology,
9057,,Laredo Petroleum,273
9058,,Gft Technologies Se,
9059,,Runjian,
9060,,"Tattooed Chef, Inc.",600
9061,,Aryzta Ag,
9062,,Ck Power Public Company,
9063,,K. Wah International Holdings,
9064,,Hankook Technology Group,
9065,,Sbs Holdings,
9066,,Aedas Homes,
9067,,Titan Cement International,
9068,,Jubilant Pharmova Limited,
9069,,Shanghai Ganglian E-commerce Holdings,
9070,,Suzhou Tztek Technology,
9071,,Colowide,
9072,,China Cyts Tours Holding,
9073,,Biogaia Ab (publ),
9074,,Chularat Hospital Public Company,
9075,,Atrion Corporation,616
9076,,Capri Global Capital,
9077,,"Plantronics, Inc.","6,500"
9078,,Blackmores,
9079,,Baillie Gifford Japan Trust,
9080,,"Dongguan Tarry Electronics Co.,ltd",
9081,,Gazit Globe Ltd,
9082,,Tbc Bank Group,
9083,,Illimity Bank,
9084,,Nhn Corporation,
9085,,Chefs' Warehouse,"2,712"
9086,,Nbcc (india),
9087,,Hangzhou Youngsun Intelligent Equipment,
9088,,Hainan Yedao (group),
9089,,Thanachart Capital Public Company,
9090,,Shanghai Maling Aquarius,
9091,,Portillo's Inc.,
9092,,Metropolitan Bank Holding,202
9093,,Saregama India,
9094,,Yabao Pharmaceutical Group Co. Ltd,
9095,,Mccarthy & Stone,
9096,,Zhongnan Red Culture Group,
9097,,Hiconics Eco-energy Technology,
9098,,Standard Life Private Equity Trust,
9099,,Oasis Midstream Partners Lp,
9100,,Primecity Investment,
9101,,Texhong Textile Group,
9102,,Ratnamani Metals & Tubes,"2,276"
9103,,Creditaccess Grameen Limited,
9104,,U.s. Physical Therapy,"5,500"
9105,,"Hims & Hers Health, Inc.",398
9106,,"Aveanna Healthcare Holdings, Inc.","42,000"
9107,,"Jacobio Pharmaceuticals Group Co., Ltd.",
9108,,"Butterfly Network, Inc.",463
9109,,Yatsen Holding Ltd,"3,355"
9110,,Megmilk Snow Brand,
9111,,Vina Concha Y Toro,
9112,,Nexus Ag,
9113,,Changyuan Group,
9114,,Wesdome Gold Mines,
9115,,Sturm Ruger & Company,"1,912"
9116,,Objective Corporation,
9117,,Seabridge Gold,
9118,,Yunnan Lincang Xinyuan Germanium Industry,
9119,,Shyam Metalics And Energy Limited,
9120,,Third Point Investors Limited,
9121,,Hunan Baili Engineering Sci&tech,
9122,,Guangdong Ellington Electronics Technology,
9123,,"D&l Industries, Inc.",
9124,,Changying Xinzhi Technology,
9125,,L1 Long Short Fund,
9126,,5i5j Holding Group,
9127,,Shanghai Haixin Group,
9128,,Mff Capital Investments,
9129,,Usi Corporation,
9130,,"Nanjing Vishee Medical Technology Co., Ltd",
9131,,Apogee Enterprises,"5,500"
9132,,Zheshang Development Group,
9133,,"Accel Entertainment, Inc.",770
9134,,Shanghai Industrial Development,
9135,,Lig Nex1,
9136,,Future Corporation,
9137,,Vinacapital Vietnam Opportunity Fund Ld,
9138,,Pt Bentoel Internasional Investama Tbk,
9139,,Nb Private Equity Partners Limited,
9140,,Hunan Jiudian Pharmaceutical,
9141,,Vado,
9142,,Calumet Specialty Products Partners,"1,450"
9143,,Suzlon Energy,
9144,,"Jiangxi Black Cat Carbon Black Inc.,ltd",
9145,,Jiangxi Geto New Materials Corporation Limited,
9146,,Baosheng Science And Technology Innovation,
9147,,Crinetics Pharmaceuticals,143
9148,,Shandong Weida Machinery,
9149,,Amphastar Pharmaceuticals,"1,761"
9150,,Powerlong Commercial Management Holdings Limited,
9151,,Restaurant Brands New Zealand,
9152,,Pz Cussons,
9153,,Canvest Environmental Protection Group Company,
9154,,Pt Bank Sinarmas Tbk,
9155,,"Nippon Steel Nisshin Co., Ltd.",
9156,,Chengdu Guibao Science & Technology,
9157,,Asiana Airlines,
9158,,Chongyi Zhangyuan Tungsten,
9159,,Arezzo Industria E Comercio,
9160,,Mensch Und Maschine Software Se,
9161,,Bega Cheese,
9162,,Evo Payments,"2,200"
9163,,Ascendas India Trust,
9164,,Nuveen New York Amt-free Quality Municipal Income Fund,
9165,,Eaton Vance Enhanced Equity Income Fund Ii,
9166,,Kernel Holding S.a.,
9167,,Samitivej Public Company,
9168,,Harvia Oyj,
9169,,Olvi Oyj,
9170,,Community Healthcare Trust,
9171,,Pt Akr Corporindo Tbk,
9172,,Nayax Ltd.,
9173,,Bestsun Energy,
9174,,Saha Pathana Inter-holding Public Company,
9175,,Zad Holding Company,
9176,,Sumo Group,
9177,,Artis Real Estate Investment Trust,
9178,,Eaton Vance Tax-managed Global Buy-write Opportunities Fund,
9179,,"Xianheng International Science&technology Co., Ltd.",
9180,,Tsrc Corporation,
9181,,Shenzhen Heungkong Holding,
9182,,Sichuan Jiuyuan Yinhai Software,
9183,,Resolute Forest Products,
9184,,Freyr Battery,
9185,,Richinfo Technology,
9186,,Ling Yun Industrial Corporation,
9187,,Shanghai Kinetic Medical Co. Ltd,
9188,,Rainbow Department Store,
9189,,Castech,
9190,,North Electro-optic,
9191,,Codan,
9192,,First Sponsor Group,
9193,,Morphosys Ag,
9194,,Torrid Holdings Inc.,"8,100"
9195,,Energijos Skirstymo Operatorius Ab,
9196,,Ascendas India Trust,
9197,,Acrel,
9198,,"Ningbo Hengshuai Co., Ltd.",
9199,,Jiangxi Huawu Brake,
9200,,Nfi Group,
9201,,Grace Fabric Technology,
9202,,Just Group Plc,
9203,,China Oriental Group Company Limited,
9204,,"Hunan Valin Wire & Cable Co.,ltd.",
9205,,"Paragon 28, Inc.",
9206,,Ayr Wellness Inc.,
9207,,Anavex Life Sciences,25
9208,,Arriyadh Development Company,
9209,,Elecom,792
9210,,Senko Group Holdings,"16,693"
9211,,Varex Imaging Corporation,"2,100"
9212,,Saizeriya,
9213,,Takeuchi Mfg,
9214,,Shanghai Highly (group),
9215,,Jpmorgan European Discovery Trust Plc,
9216,,Inesa Intelligent Tech,
9217,,Hitachi Zosen Corporation,
9218,,Core Laboratories,"3,700"
9219,,Earth Corporation,"4,248"
9220,,Getac Technology Corporation,
9221,,Jcu Corporation,
9222,,"Henan Hengxing Science & Technology Co.,ltd.",
9223,,Wpg (shanghai) Smart Water Public,
9224,,Wavestone Sa,
9225,,Balrampur Chini Mills,
9226,,Ready Capital Corporation,400
9227,,Chengdu Galaxy Magnets,
9228,,Beijing Teamsun Technology,
9229,,Kumagai Gumi,759
9230,,Seiren,
9231,,New Horizon Health Limited,
9232,,Brainchip Holdings,
9233,,Guangdong Highsun Group,
9234,,Gud Holdings,
9235,,Bse Limited,
9236,,Zhuhai Enpower Electric,
9237,,Coretronic Corporation,
9238,,Marketech International,
9239,,"Anhui Xinbo Aluminum Co., Ltd.",
9240,,Pointsbet Holdings,
9241,,Fincantieri S.p.a.,
9242,,Cesp - Companhia Energetica De Sao Paulo,
9243,,Raksul,304
9244,,Mahanagar Gas,493
9245,,Ab Fagerhult,
9246,,Aramis Group Sas,
9247,,Yext,"1,200"
9248,,Reach Plc,
9249,,Revance Therapeutics,495
9250,,Tianneng Power International,
9251,,Okinawa Cellular Telephone Company,374
9252,,Glory,"3,473"
9253,,Zehnder Group Ag,
9254,,United Super Markets Holdings,"28,905"
9255,,People Corporation,
9256,,Pitney Bowes,"11,500"
9257,,Beijing Ctrowell Technology Corporation,
9258,,Innovative Industrial Properties,
9259,,Aguas Andinas,
9260,,Corporativo Gbm,
9261,,Mcp Master Income Trust,
9262,,Premier Financial Corp.,"1,180"
9263,,Applegreen,
9264,,Cts Corporation,"3,820"
9265,,Arcos Dorados Holdings,
9266,,Employers Holdings,608
9267,,Australian Strategic Materials Ltd,
9268,,Duskin,
9269,,Shenzhen Clou Electronics,
9270,,Xi'an Tianhe Defense Technology,
9271,,Preferred Bank,279
9272,,Hebei Changshan Biochemical Pharmaceutical,
9273,,Nlc India,"12,675"
9274,,Shenzhen Fuanna Bedding And Furnishing,
9275,,Shenzhen Gongjin Electronics,
9276,,Denison Mines,
9277,,"Shandong Huatai Paper Industry Shareholding Co.,ltd",
9278,,Anhui Construction Engineering Group,
9279,,Sfl Corporation,
9280,,Feitian Technologies,
9281,,Piaggio & C. Spa,
9282,,Cls Holdings,
9283,,Xiamen Hongxin Electron-tech,
9284,,Kunwu Jiuding Investment Holdings,
9285,,En-japan,"3,547"
9286,,Tauron Polska Energia,
9287,,Borosil Renewables Limited,
9288,,Filo Mining,
9289,,Guangxi Liuzhou Pharmaceutical,
9290,,Alternative Credit Investments,
9291,,Inwido Ab,
9292,,Morguard Corporation,
9293,,Xinjiang Tianfu Energy,
9294,,Blackrock Muniyield Quality Fund,
9295,,Ntn Corporation,
9296,,Showa Aircraft Industry,
9297,,Faro Technologies,"1,432"
9298,,Invocare,
9299,,Ytl Power International Berhad,
9300,,Nankang Rubber Tire,
9301,,Getein Biotech,
9302,,India Grid Trust,
9303,,Henan Zhongyuan Expressway Company,
9304,,New Wave Group Ab (publ),
9305,,Eirgenix,
9306,,Seacor Holdings,"1,616"
9307,,Central Securities,
9308,,Entie Commercial Bank,
9309,,Shinkong Synthetic Fibers Corporation,
9310,,A10 Networks,590
9311,,Msg Networks,180
9312,,Urban Logistics Reit,
9313,,Hangzhou Electronic Soul Network Technology,
9314,,Flex Lng,
9315,,China Travel International Investment Hong Kong,
9316,,Standard Motor Products,"5,000"
9317,,Rapt Therapeutics,
9318,,Pt Metro Healthcare Indonesia Tbk,
9319,,Staidson (beijing) Biopharmaceuticals,
9320,,Jiang Su Suyan Jingshen,
9321,,Transcosmos,
9322,,Meyer Burger Technology Ag,
9323,,Jiangsu Canlon Building Materials,
9324,,Swiss Steel Holding Ag,
9325,,Puretech Health,
9326,,Storytel Ab (publ),
9327,,"Seer, Inc.",60
9328,,Microport Cardioflow Medtech Corporation,
9329,,Sunway,
9330,,Guangdong Dongfang Precision Science & Technology,
9331,,Calamos Convertible And High Income Fund,
9332,,Craneware,
9333,,Uacj Corporation,
9334,,"Zhejiang Hugeleaf Co.,ltd.",
9335,,Terrascend,
9336,,Fukuoka Reit Corporation,41
9337,,"Guanglian Aviation Industry Co., Ltd.",
9338,,Nippon Paper Industries,"5,324"
9339,,Txc Corporation,
9340,,Pt Japfa Comfeed Indonesia Tbk,
9341,,American Finance Trust,
9342,,Psg Konsult,
9343,,Karooooo Ltd.,"3,000"
9344,,Sumitomo Osaka Cement,"3,005"
9345,,Rpt Realty,125
9346,,Fertilisers And Chemicals Travancore,
9347,,Shenzhen Tellus Holding,
9348,,Jiangshan Oupai Door Industry Co. Ltd,
9349,,Dahlbusch Ag,
9350,,Global Medical Reit,
9351,,Electra Real Estate,
9352,,Boai Nky Medical Holdings,
9353,,Doosan Infracore,
9354,,Homestreet,984
9355,,Marlowe Plc,
9356,,Aem Holdings Ltd,
9357,,Jindal Stainless (hisar),
9358,,Cosmopolitan International Holdings,
9359,,Harmonic,"1,267"
9360,,Jiangsu Etern Company,
9361,,Pegavision Corporation,
9362,,"Amylyx Pharmaceuticals, Inc.",
9363,,Tokuyama Corporation,"5,679"
9364,,Sas Ab (publ),
9365,,Thredup Inc.,
9366,,Hainan Drinda Automotive Trim,
9367,,Xgd,
9368,,"Alpha Metallurgical Resources, Inc.","3,500"
9369,,Shanghai Conant Macroflag Group,
9370,,Sapphire Foods India Limited,
9371,,Foundation Building Materials,
9372,,Pan Jit International,
9373,,Is Dongseo,
9374,,Wacoal Holdings,"20,984"
9375,,Cosmo Pharmaceuticals,
9376,,Ichigo,
9377,,Pontem Corp,
9378,,Chemtrade Logistics Income Fund,
9379,,Create Restaurants Holdings,"14,274"
9380,,Valuecommerce,
9381,,Guangdong Chaohua Technology,
9382,,Matthews International Corporation,"11,000"
9383,,China High Speed Transmission Equipment Group,
9384,,De Grey Mining Limited,
9385,,Mahindra Cie Automotive,
9386,,Trs Information Technology,
9387,,Made.com Group Plc,
9388,,Sbanken Asa,
9389,,K92 Mining Inc.,
9390,,Life360,
9391,,M.yochananof And Sons (1988) Ltd,
9392,,Lenenergo,
9393,,Integrated Diagnostics Holdings,
9394,,Essel Propack,
9395,,Shenzhen Weiguang Biological Products,
9396,,Orion Engineered Carbons,
9397,,Shenzhen Das Intellitech,
9398,,"Winbo-dongjian Automotive Technology Co., Ltd.",
9399,,Sun Pharma Advanced Research Company,
9400,,Jiangsu High Hope International Group Corporation,
9401,,Xi'an Chenxi Aviation Technology,
9402,,"Wuxi Dk Electronic Materials Co.,ltd.",
9403,,"Usertesting, Inc.",
9404,,Ratchaphruek Hospital Public Company,
9405,,Shenzhen Wote Advanced Materials Co. Ltd,
9406,,"Zhejiang Changhua Auto Parts Co., Ltd.",
9407,,Gongwin Biopharm Holdings,
9408,,Jishi Media,
9409,,Shiny Chemical Industrial Company,
9410,,Eq Oyj,
9411,,Miramar Hotel And Investment Company,
9412,,Procter & Gamble Health Limited,
9413,,Harbin Bank,
9414,,Wuhan Fingu Electronic Technology,
9415,,Mochida Pharmaceutical,"1,581"
9416,,Skillsoft Corp.,
9417,,"Zhejiang Mtcn Technology Co.,ltd",
9418,,Takasago Thermal Engineering,
9419,,Joeone,
9420,,Better Collective A/s,
9421,,Air Asia Berhad,
9422,,Takkt Ag,
9423,,Pt Ultrajaya Milk Industry & Trading Company,"1,099"
9424,,Komax Holding Ag,
9425,,Nanjing Sunlord Electronics Corporation Ltd.,
9426,,Faes Farma,
9427,,Energy Recovery,
9428,,Ningbo Baosi Energy Equipment,
9429,,Coherus Biosciences,310
9430,,Cymbria Corporation,
9431,,Henan City Development Environment,
9432,,Photronics,"1,728"
9433,,Goldsun Building Materials,
9434,,E.i.d Parry (india),
9435,,"Gores Guggenheim, Inc.",
9436,,American Axle & Manufacturing Holdings,"18,000"
9437,,Pt Multi Bintang Indonesia Tbk,468
9438,,Kunming Yunnei Power,
9439,,Suzhou Electrical Apparatus Science Academy,
9440,,Gorman-rupp Company,"1,150"
9441,,Gol Linhas Aereas Inteligentes,
9442,,"Avepoint, Inc.","1,934"
9443,,Hireright Holdings Corp,"2,447"
9444,,Forbes & Company,
9445,,Chengdu Spaceon Electronics,
9446,,"Nanjing Cosmos Chemical Co., Ltd.",
9447,,Ki-star Real Estate,
9448,,Ioneer Ltd,
9449,,Shanghai Yongguan Adhesive Products,
9450,,Baillie Gifford Us Growth Trust,
9451,,Gl Limited,
9452,,Rhon-klinikum,
9453,,Fibra Terrafina,
9454,,"Chenzhou City Jingui Silver Industry Co., Ltd.",
9455,,Cascades,"12,300"
9456,,Zhengzhou Deheng Hongsheng Technology,
9457,,Chemring Group,
9458,,Ticon Freehold And Leasehold Real Estate Investment Trust,
9459,,Alphatec Holdings,227
9460,,Hanwa,
9461,,Nohmi Bosai,"2,524"
9462,,Musashi Seimitsu Industry,
9463,,"Via Labs, Inc.",
9464,,Westlife Development,
9465,,Jiangsu Changhai Composite Materials Co. Ltd,
9466,,Vital Healthcare Property Trust,
9467,,Nihon Parkerizing,"4,385"
9468,,Emis Group,
9469,,Beijing Certificate Authority,
9470,,"Jilin Liyuan Precision Manufacturing Co., Ltd.",
9471,,"Hichain Logistics Co.,ltd.",
9472,,Wise Talent Information Technology Co. Ltd,
9473,,Chicony Power Technology,
9474,,Hand Enterprise Solutions,
9475,,Ch. Karnchang Public Company,
9476,,Quick Intelligent Equipment,
9477,,Qingdao Gon Technology,
9478,,Jiangsu Leili Motor Co. Ltd,
9479,,Xinjiang Guannong Fruit & Antler,
9480,,Imax Corporation,622
9481,,Irb Infrastructure Developers,
9482,,Yunnan Tourism,
9483,,Beyondsoft Corporation,
9484,,Elmos Semiconductor Ag,
9485,,Far-eastern Shipping Company,
9486,,Hle Glascoat Limited,
9487,,Huadian Heavy Industries,
9488,,Brim Hf,
9489,,Ccs Supply Chain Management,
9490,,Advantage Oil & Gas,
9491,,Pharma Mar,
9492,,Btrs Holdings Inc.,
9493,,China Yuhua Education Corporation,
9494,,Cstone Pharmaceuticals,
9495,,Soho China,
9496,,Riskified Ltd.,
9497,,"Esr Kendall Square Reit Co., Ltd.",
9498,,Guangdong Golden Glass Technologies,
9499,,Ngl Energy Partners Lp,842
9500,,Modern Times Group Mtg Ab,
9501,,Wha Premium Growth Freehold And Leasehold Real Estate Investment Trust,
9502,,Ktk Group,
9503,,Amadeus Fire Ag,
9504,,Pt Medikaloka Hermina Tbk,
9505,,Lotte Reit,
9506,,Bolsa Mexicana De Valores,
9507,,Musti Group Oyj,
9508,,Prosegur Cash,
9509,,Pulmonx Corp,202
9510,,Dundee Precious Metals,"2,159"
9511,,Amasten Fastighets Ab (publ),
9512,,Shenzhen Fenda Technology,
9513,,China Railway Tielong Container Logistics Co. Ltd,
9514,,Multi Commodity Exchange Of India,346
9515,,Apartment Investment And Management Company,62
9516,,Immunotech Biopharm Ltd,
9517,,"91app, Inc.",
9518,,Komeri,
9519,,Sichuan Languang Justbon Services Group,
9520,,Yunnan Energy Investment,
9521,,Kunming Longjin Pharmaceutical,
9522,,Asrock,
9523,,Jiayou International Logistics,
9524,,Eastcompeace Technology,
9525,,Digital 9 Infrastructure Plc,
9526,,Jiajia Food Group,
9527,,Urovo Technology,
9528,,Jiangsu Pacific Precision Forging,
9529,,Psc Insurance Group,
9530,,Yunnan Xiyi Industry,
9531,,Seera Group Holding,
9532,,Prima Meat Packers,"3,361"
9533,,Guangdong Topstar Technology,
9534,,Aurora Cannabis,
9535,,Columbia Care,
9536,,Fukuda Denshi,"3,121"
9537,,Okamura Corporation,
9538,,Pao Tmk,
9539,,Turkiye Vakiflar Bankasi Turk Anonim Ortakligi,
9540,,Evergreen International Storage & Transport Corporation,
9541,,Shui On Land,
9542,,Poly Medicure,
9543,,Shenyang Jinbei Automotive Company,
9544,,Housing And Urban Development Corporation,827
9545,,Berry Genomics,
9546,,Maruha Nichiro Corporation,
9547,,Bcpg Public Company,
9548,,Elementis,
9549,,Odontoprev,
9550,,Realreal,"1,748"
9551,,Rain Industries,
9552,,Dazhong Transportation (group),
9553,,Cbre Clarion Global Real Estate Income Fund,
9554,,Ideagen,
9555,,Tecnoglass,
9556,,Transcend Information,
9557,,Wenzhou Yihua Connector,
9558,,Hut 8 Mining Corp.,
