,company_ceo,company_country,company_founded,company_industry,company_name,company_rank
2821,Not found,UK,2014,"['Technology', 'Retail', 'eCommerce', 'Software and IT']",THE HUT GROUP,2707
2822,Not found,USA,Not found,"['Software and IT', 'Technology', 'Healthcare Service', 'Healthcare', 'Artificial Intelligence']",TEMPUS,2707
2823,Not found,Singapore,"
    ","['Internet or Mobile App Based Business', 'eCommerce']",LAZADA GROUP,2707
2824,Not found,China,2013,"['Social Media', 'eCommerce', 'Internet or Mobile App Based Business']",XIAOHONGSHU,2707
2825,Not found,Brazil,1968,"['Healthcare', 'Healthcare Service', 'Insurance']",NOTRE DAME INTERMEDICA PARTICIPACOES,2708
2826,Not found,USA,Not found,"['Food Service', 'Facility Support Services', 'Logistics', 'Rent / Lease Services']",CLOUDKITCHENS,2707
2827,Not found,USA,2008,"['Gaming', 'Video Games / Mobile Games / Tech Games / Casino Games', 'Software and IT', 'Technology']",MACHINE ZONE,2707
2828,Not found,China,Not found,"['Consumer Defensive', 'Alcoholic Beverages', 'Beverages']",ANHUI KOUZI DISTILLERY,2707
2829,Not found,USA,2012,"['Software and IT', 'Technology']",HASHICORP,2707
2830,Not found,China,Not found,"['Communication Services', 'Internet or Mobile App Based Business']",CHINA LITERATURE,2715
2831,Not found,USA,1984,"['Consumer Defensive', 'Beverages', 'Beer', 'Consumer Non Durables', 'Alcoholic Beverages']",BOSTON BEER COMPANY,2709
2832,Not found,USA,1866,"['Energy', 'Chemicals', 'Oil and Gas']",VALVOLINE,2711
2833,Not found,Japan,1919,"['Industries', 'Shipping', 'Marine Transportation', 'Transportation']",KAWASAKI KISEN KAISHA,2712
2834,Not found,USA,1996,"['Communication Services', 'Broadcasting', 'Consumer Services']",NEXSTAR MEDIA GROUP,2710
2835,Not found,India,1949,"['Industries', 'Engineering Products', 'Engineering Services', 'Industry Machinery', 'Electronics', 'Electrical Products']",ABB INDIA,2718
2836,Not found,China,1999,"['Basic Materials', 'Chemicals']",ZHEJIANG YONGTAI TECHNOLOGY,2714
2837,Not found,Brazil,1936,"['Energy', 'Conglomerate', 'Food and Beverage', 'Sugar', 'Food Products', 'Consumer Non Durables', 'Fuels', 'Oil and Gas']",COSAN,2716
2838,Not found,China,2008,"['Healthcare', 'Pharmacy', 'Retail']",YIFENG PHARMACY CHAIN,2713
2839,Not found,India,1978,['Financial Services'],CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY,2717
2840,Not found,Nigeria,1998,"['Technology', 'Software and IT Infrastructure', 'Data Centers']","IWEB, INC.",2724
2841,Not found,Japan,2008,"['Healthcare', 'Pharmacy', 'Retail', 'Healthcare Service']",WELCIA HOLDINGS,2725
2842,Not found,Taiwan,1977,"['Consumer Cyclical', 'Textile']",ECLAT TEXTILE,2721
2843,Not found,China,2006,"['Basic Materials', 'Mining', 'Gold Mining', 'Copper Mining', 'Platinum']",ZHONGJIN GOLD,2728
2844,Not found,India,1980,"['Utilities', 'Gas Utilities']",GUJARAT GAS,2720
2845,Not found,China,2003,"['Technology', 'Semiconductors']",TIANSHUI HUATIAN TECHNOLOGY,2723
2846,Not found,China,1957,"['Industries', 'Infrastructure', 'Construction', 'Engineering Services', 'Construction']",CHINA STATE CONSTRUCTION INTERNATIONAL HOLDINGS,2719
2847,Not found,China,Not found,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",ZHEJIANG JIUZHOU PHARMACEUTICAL CO. LTD,2722
2848,Not found,France,1822,"['Industries', 'Transportation', 'Logistics', 'Conglomerate']",FINANCIERE DE L'ODET SA,2727
2849,Not found,Sweden,1997,"['Industries', 'Construction', 'Engineering Services', 'Consulting Services']",SWECO AB (PUBL),2726
2850,Not found,China,1998,"['Medical Equipment', 'Healthcare']",GAN & LEE PHARMACEUTICALS,2737
2851,Not found,Qatar,1987,"['Communication Services', 'Telecom', 'Mobile Services', 'Fixed Line Service', 'Internet Providers']",OOREDOO,2736
2852,Not found,USA,1874,"['Industries', 'Metal Fabrication Products', 'Capital Goods', 'Engineering Products', 'Industry Machinery']",WATTS WATER TECHNOLOGIES,2731
2853,Not found,UK,1903,"['Industries', 'Technology', 'Machinery Manufacturing', 'Manufacturing', 'Electrical Products']",NVENT ELECTRIC,2730
2854,Not found,Brazil,2011,"['Healthcare', 'Retail', 'Pharmacy']",RAIA DROGASIL,2734
2855,Not found,Singapore,2004,"['Real Estate', 'Investments', 'Property Investments']",MAPLETREE LOGISTICS TRUST,2738
2856,Not found,USA,1993,"['Consumer Cyclical', 'Restaurants', 'Food Service', 'Consumer Services']",TEXAS ROADHOUSE,2735
2857,Not found,China,1995,"['Technology', 'Software and IT', 'Software Products']",BEIJING SHIJI INFORMATION TECHNOLOGY,2733
2858,Not found,USA,1999,"['Technology', 'Software and IT', 'Software Products', 'Software and IT Infrastructure', 'Security Systems and Solutions']",CYBERARK SOFTWARE,2729
2859,Not found,USA,1933,"['Financial Services', 'Banking Services']",SOUTH STATE CORPORATION,2732
2860,Not found,Belgium,1930,"['Communication Services', 'Telecom', 'Mobile Services', 'Internet Providers', 'Television Services']",PROXIMUS,2741
2861,Not found,China,1988,"['Energy', 'Coal Mining', 'Mining']",WINTIME ENERGY,2739
2862,Not found,UK,1955,"['Communication Services', 'Media', 'Advertising', 'Consumer Services', 'Broadcasting']",ITV,2747
2863,Not found,Saudi Arabia,1979,"['Consumer Cyclical', 'Retail']",JARIR MARKETING COMPANY,2746
2864,Not found,Japan,2009,"['Communication Services', 'Gaming', 'Software and IT']",KOEI TECMO HOLDINGS,2745
2865,Not found,Japan,2003,"['Communication Services', 'Advertising', 'Media']",HAKUHODO DY HOLDINGS,2744
2866,Not found,Canada,1972,"['Real Estate', 'Financial Services']",COLLIERS INTERNATIONAL GROUP,2742
2867,Not found,USA,2007,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",INSPIRE MEDICAL SYSTEMS,2743
2868,Not found,Switzerland,1907,"['Consumer Defensive', 'Dairy Products', 'FMCG', 'Package Foods', 'Food Products']",EMMI AG,2748
2869,Not found,USA,1958,"['Real Estate', 'Consumer Services', 'Investments', 'Property Investments', 'Commercial Properties']",COUSINS PROPERTIES,2740
2870,Not found,Netherlands,1995,"['Technology', 'Semiconductors', 'Electronics']",BE SEMICONDUCTOR INDUSTRIES,2749
2871,Not found,USA,1985,"['Industries', 'Technology', 'Professional Services', 'Outsourcing and Staffing']",ASGN,2752
2872,Not found,USA,1980,"['Technology', 'Software and IT', 'Software and IT Infrastructure']",CCC INTELLIGENT SOLUTIONS HOLDINGS INC.,2756
2873,Not found,China,1992,"['Basic Materials', 'Chemicals']",WEIHAI GUANGWEI COMPOSITES,2753
2874,Not found,USA,2007,"['Financial Services', 'Asset Management']",FS KKR CAPITAL,2757
2875,Not found,UK,1871,"['Industries', 'Industry Machinery', 'Engineering Products', 'Machinery Manufacturing']",WEIR GROUP,2751
2876,Not found,China,1999,"['Basic Materials', 'Chemicals', 'Agriculture Related']",JIANGSU YANGNONG CHEMICAL,2754
2877,Not found,China,1990,"['Consumer Cyclical', 'Retail']",SUNING.COM,2755
2878,Not found,India,Not found,"['Consumer Defensive', 'FMCG', 'Food and Beverage', 'Beverages', 'Non-Alcoholic Beverages', 'Food Products', 'HealthCare Products']",GLAXOSMITHKLINE CONSUMER HEALTHCARE,2750
2879,Not found,Japan,1948,"['Consumer Defensive', 'Beauty and Personal Care', 'Personal Care Products', 'FMCG']",KOSE CORPORATION,2750
2880,Not found,Taiwan,1992,"['Technology', 'Electronics', 'Capital Goods']",E INK HOLDINGS,2766
2881,Not found,China,1993,"['Healthcare', 'Pharmaceutical']",HUMANWELL HEALTHCARE (GROUP),2759
2882,Not found,China,2011,"['Technology', 'Consumer Electronics']",ANKER INNOVATIONS LIMITED,2762
2883,Not found,China,1970,"['Basic Materials', 'Aluminum']",YUNNAN ALUMINIUM,2765
2884,Not found,India,1954,"['Basic Materials', 'Iron and Steel', 'Metals', 'Mining']",STEEL AUTHORITY OF INDIA,2761
2885,Not found,Japan,1900,"['Industries', 'Printing', 'Electronics', 'Industry Machinery']",TOPPAN PRINTING,2764
2886,Not found,China,1994,"['Consumer Cyclical', 'Resorts', 'Travel and Transport', 'Entertainment', 'Leisure']",SONGCHENG PERFORMANCE DEVELOPMENT,2763
2887,Not found,UK,2004,"['Industries', 'Security Systems and Solutions', 'Technology']",G4S,2767
2888,Not found,Japan,1946,"['Technology', 'Semiconductors']",SHINKO ELECTRIC INDUSTRIES,2760
2889,Not found,China,1998,"['Healthcare', 'Biotechnology']",BEIJING TIANTAN BIOLOGICAL PRODUCTS,2758
2890,Not found,South Korea,2011,"['Healthcare', 'Biopharmaceutical', 'Biotechnology']",SK BIOPHARMACEUTICALS,2773
2891,Not found,China,1990,"['Basic Materials', 'Chemicals', 'Petrochemicals']",HENGYI PETROCHEMICAL,2774
2892,Not found,India,1952,"['Healthcare', 'HealthCare Products', 'Pharmaceutical']",ZYDUS LIFESCIENCTES LIMITED,2767
2893,Not found,India,1987,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Tyres']",BALKRISHNA INDUSTRIES,2775
2894,Not found,China,1998,"['Industries', 'Security Systems and Solutions', 'Networking Products / Solutions', 'Technology']",WESTONE INFORMATION INDUSTRY,2771
2895,Not found,Japan,1942,"['Technology', 'Computers Hardware', 'Electronics']",SEIKO EPSON CORPORATION,2770
2896,Not found,Japan,1975,"['Communication Services', 'Technology', 'Gaming', 'Software and IT', 'Entertainment', 'Technology Hardware and Instruments', 'Computers Hardware', 'Video Games / Mobile Games / Tech Games / Casino Games']",SQUARE ENIX HOLDINGS,2769
2897,Not found,Denmark,1937,"['Healthcare', 'Medical Equipment']",AMBU A/S,2776
2898,Not found,China,1999,"['Industries', 'Plastics / Plastic Products', 'Construction Materials', 'Building Products and Equipment']",ZHEJIANG WEIXING NEW BUILDING MATERIALS,2772
2899,Not found,China,1999,"['Basic Materials', 'Iron and Steel']","HUNAN VALIN STEEL CO., LTD.",2768
2900,Not found,UK,1844,"['Education', 'Communication Services', 'Consumer Services', 'Publishing', 'Media']",PEARSON PLC,2777
2901,Not found,Switzerland,1898,"['Consumer Cyclical', 'Automobile', 'Automobile Parts', 'Consumer Durables']",GOODYEAR TIRE & RUBBER COMPANY,2781
2902,Not found,Spain,2010,"['Financial Services', 'Banking Services']",BANKIA,2779
2903,Not found,USA,1973,"['Consumer Cyclical', 'Technology', 'Gaming', 'Gambling']",SCIENTIFIC GAMES CORPORATION,2785
2904,Not found,USA,1938,"['Consumer Cyclical', 'Apparels and Accessories', 'Textile', 'Consumer Non Durables', 'Sports Goods', 'Footwear']",COLUMBIA SPORTSWEAR COMPANY,2782
2905,Not found,USA,2012,"['Healthcare', 'Hospitals', 'Healthcare Service']","OAK STREET HEALTH, INC.",2784
2906,Not found,Japan,1873,"['Industries', 'Real Estate', 'Construction']",TAISEI CORPORATION,2783
2907,Not found,China,2005,"['Healthcare', 'Biotechnology']",PORTON PHARMA SOLUTIONS,2779
2908,Not found,USA,1855,"['Industries', 'Metal Fabrication Products', 'Capital Goods', 'Engineering Products', 'Aerospace and Defense', 'Aerospace Products', 'Electronics', 'Industry Machinery']",CRANE,2780
2909,Not found,USA,1989,"['Healthcare', 'Pharmaceutical', 'HealthCare Products', 'Biopharmaceutical', 'Biotechnology', 'Technology']",ARROWHEAD PHARMACEUTICALS,2778
2910,Not found,UK,1981,"['Industries', 'Industry Machinery']",IMI,2786
2911,Not found,USA,1903,"['Consumer Cyclical', 'Bikes', 'Automobile', 'Consumer Non Durables', 'Recreational Vehicles']",HARLEY-DAVIDSON,2794
2912,Not found,USA,1978,"['Healthcare', 'Health Care Diagnostics']",SOTERA HEALTH CO,2793
2913,Not found,USA,1859,"['Financial Services', 'Banking Services']",NEW YORK COMMUNITY BANCORP,2795
2914,Not found,China,1984,"['Industries', 'Heavy Machinery']",SHIMGE PUMP INDUSTRY GROUP,2790
2915,Not found,China,2002,"['Consumer Cyclical', 'Automobile', 'Automobile Parts']",SAILUN GROUP,2788
2916,Not found,Belgium,1998,['Real Estate'],VGP NV,2789
2917,Not found,Hong Kong,1999,"['Industries', 'Retail', 'Sports Goods', 'Rent / Lease Services']",TOPSPORTS INTERNATIONAL HOLDINGS,2792
2918,Not found,Canada,1954,"['Industries', 'Infrastructure', 'Consulting Services', 'Consumer Services', 'Engineering Products', 'Engineering Services', 'Construction']",STANTEC,2791
2919,Not found,China,1987,"['Consumer Cyclical', 'Retail', 'Jewellery']",SHANGHAI YUYUAN TOURIST MART (GROUP),2787
2920,Not found,China,Not found,"['Financial Services', 'Investments', 'Securities', 'Asset Management']",CAITONG SECURITIES,2800
2921,Not found,Indonesia,Not found,"['Energy', 'Coal Mining', 'Mining']",PT BAYAN RESOURCES TBK,2804
2922,Not found,USA,1977,"['Financial Services', 'Insurance']",PRIMERICA,2799
2923,Not found,Sweden,1942,"['Consumer Cyclical', 'Consumer Goods', 'Sports Goods', 'Leisure']",THULE GROUP AB (PUBL),2801
2924,Not found,South Africa,1992,"['Financial Services', 'Insurance']",DISCOVERY LIMITED,2803
2925,Not found,China,2001,"['Consumer Defensive', 'FMCG', 'Package Foods', 'Food Products']",FUJIAN ANJOY FOODS,2802
2926,Not found,Japan,1969,"['Financial Services', 'Rent / Lease Services']",TOKYO CENTURY CORPORATION,2796
2927,Not found,China,1992,"['Real Estate', 'Construction', 'Property Investments', 'Infrastructure']",SHANGHAI LUJIAZUI FINANCE & TRADE ZONE DEVELOPMENT,2805
2928,Not found,USA,1990,"['Technology', 'Semiconductors']","ALLEGRO MICROSYSTEMS, INC.",2797
2929,Not found,China,1996,"['Technology', 'Solar Power Devices', 'Research']",SHANGHAI AIKO SOLAR ENERGY,2798
2930,Not found,Japan,2008,"['Industries', 'Outsourcing and Staffing']",PERSOL HOLDINGS,2806
2931,Not found,Japan,1949,"['Industries', 'Industry Machinery', 'Automation', 'Building Automation', 'Security Systems and Solutions']",AZBIL CORPORATION,2811
2932,Not found,USA,2015,"['Real Estate', 'Consumer Services', 'Property Investments']",MGM GROWTH PROPERTIES LLC,2815
2933,Not found,China,1992,"['Industries', 'Industry Machinery']",KEDA CLEAN ENERGY,2807
2934,Not found,USA,1991,"['Consumer Cyclical', 'Consumer Durables', 'Packaging', 'Packaging Materials']",GRAPHIC PACKAGING HOLDING COMPANY,2810
2935,Not found,USA,2005,"['Energy', 'Oil and Gas', 'Utilities', 'Gas Utilities']",DCP MIDSTREAM LP,2812
2936,Not found,China,2005,"['Basic Materials', 'Chemicals']",SHANDONG SINOCERA FUNCTIONAL MATERIAL,2814
2937,Not found,China,Not found,"['Technology', 'Electronics', 'Capital Goods']",FANGDA CARBON NEW MATERIAL TECHNOLOGY,2808
2938,Not found,China,1999,"['Industries', 'Aerospace and Defense']",CHINA AVIONICSSYSTEM,2813
2939,Not found,Turkey,1957,"['Industries', 'Construction', 'Engineering Services']",ENKA INSAAT VE SANAYI,2809
2940,Not found,China,2008,"['Consumer Cyclical', 'Consumer Services', 'Retail', 'Internet or Mobile App Based Business', 'eCommerce']",VIPSHOP HOLDINGS,2816
2941,Not found,Hong Kong,1972,['Real Estate'],TSIM SHA TSUI PROPERTIES LIMITED,2823
2942,Not found,China,2001,"['Consumer Cyclical', 'Retail', 'Super Markets']",YONGHUI SUPERSTORES,2818
2943,Not found,Hong Kong,2000,"['Healthcare', 'HealthCare Products', 'Biotechnology']",HUTCHISON CHINA MEDITECH,2820
2944,Not found,Singapore,1899,"['Consumer Cyclical', 'Investments', 'Automobile']",JARDINE CYCLE & CARRIAGE,2824
2945,Not found,China,Not found,"['Basic Materials', 'Cement', 'Construction Materials']",HUAXIN CEMENT,2821
2946,Not found,China,2011,"['Industries', 'Electrical Products']",ZHEJIANG HANGKE TECHNOLOGY COMPANY,2817
2947,Not found,Indonesia,2012,"['Basic Materials', 'Mining', 'Copper Mining', 'Gold Mining', 'Silver Mining', 'Metals']",PT MERDEKA COPPER GOLD TBK,2819
2948,Not found,China,Not found,"['Industries', 'Shipping', 'Freight Transport', 'Transportation']",CHINA MERCHANTS PORT GROUP,2822
2949,Shane Smith,USA,1936,"['Food Products', 'Meat / Poultry / Fish / Chicken']",SMITHFIELD FOODS,2819
2950,Not found,India,1946,"['Basic Materials', 'Chemicals', 'Agriculture Related']",PI INDUSTRIES,2825
2951,Not found,Taiwan,1998,"['Industries', 'Transportation', 'Railway']",TAIWAN HIGH SPEED RAIL CORPORATION,2833
2952,Not found,Turkey,1926,"['Industries', 'Conglomerate', 'Energy', 'Oil and Gas', 'Retail', 'Provides Loans', 'Automobile']",KOC HOLDING,2831
2953,Not found,Japan,1919,"['Consumer Defensive', 'Pharmaceutical', 'HealthCare Products', 'FMCG']",KOBAYASHI PHARMACEUTICAL,2826
2954,Not found,Luxembourg,1972,"['Consumer Defensive', 'Retail', 'Beauty and Personal Care', 'Personal Care Products', 'FMCG']",L'OCCITANE INTERNATIONAL,2828
2955,Not found,USA,2011,"['Utilities', 'Renewable Energy', 'Power Generation', 'Electricity Generation', 'Investments']",BROOKFIELD RENEWABLE CORPORATION,2832
2956,Not found,USA,1927,"['Financial Services', 'Banking Services']",VALLEY NATIONAL BANCORP,2834
2957,Not found,UK,2013,"['Real Estate', 'Property Investments', 'Investments']",TRITAX BIG BOX REIT,2827
2958,Not found,USA,2010,"['Software and IT', 'Software Products']",FRESHWORKS Inc,2830
2959,Not found,USA,1897,"['Basic Materials', 'Agriculture Related', 'Chemicals']",E. I. DU PONT DE NEMOURS AND COMPANY,2829
2960,Not found,Japan,1936,"['Industries', 'Technology', 'Electronics', 'Printers', 'Office Equipment']",RICOH COMPANY,2842
2961,Not found,USA,1999,"['Financial Services', 'Banking Services']",PACWEST BANCORP,2839
2962,Not found,Norway,1983,"['Technology', 'Semiconductors', 'Electronics']",NORDIC SEMICONDUCTOR ASA,2837
2963,Not found,China,Not found,"['Consumer Defensive', 'Food Products', 'Meat / Poultry / Fish / Chicken', 'FMCG', 'Package Foods']",JUEWEI FOOD,2838
2964,Not found,China,Not found,"['Consumer Defensive', 'FMCG', 'Personal Care Products']",HENGAN INTERNATIONAL GROUP COMPANY,2836
2965,Not found,Japan,1969,"['Technology', 'Software and IT']",SCSK CORPORATION,2843
2966,Not found,China,Not found,"['Consumer Defensive', 'Cosmetics', 'Personal Care Products', 'Beauty and Personal Care', 'FMCG']",PROYA COSMETICS,2841
2967,Not found,Italy,2002,"['Utilities', 'Water Utilities', 'Gas Utilities', 'Electric Utilities', 'Waste and Trash Management']",HERA,2844
2968,Not found,USA,1972,['Financial Services'],SLM CORPORATION,2840
2969,Not found,USA,2009,"['Healthcare', 'Medical Equipment']",SHOCKWAVE MEDICAL,2835
2970,Not found,Spain,1972,"['Utilities', 'Gas Utilities', 'Natural Gas Distribution']",ENAGAS,2849
2971,Not found,China,Not found,"['Healthcare', 'Pharmaceutical', 'HealthCare Products']",APELOA PHARMACEUTICAL,2851
2972,Not found,South Korea,1981,"['Communication Services', 'Telecom', 'Utilities', 'Telecom Equipment']",KT CORPORATION,2847
2973,Not found,China,Not found,"['Utilities', 'Electric Utilities', 'Renewable Energy']",CHINA POWER INTERNATIONAL DEVELOPMENT,2854
2974,Not found,USA,1919,"['Industries', 'Metal Fabrication Products', 'Capital Goods', 'Engineering Products', 'Tools and Equipment']",RBC BEARINGS,2850
2975,Not found,USA,1990,"['Consumer Cyclical', 'Consumer Services', 'Entertainment', 'Gaming', 'Technology', 'Gambling']",INTERNATIONAL GAME TECHNOLOGY,2846
2976,Not found,China,Not found,"['Industries', 'Shipping', 'Freight Transport']",COSCO SHIPPING DEVELOPMENT,2853
